DATAFLOW,LAST UPDATE,freq,incgrp,hhtyp,tenure,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,DE,2021,49.1,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,DE,2022,46.7,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,EU27_2020,2021,69.9,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,EU27_2020,2022,69.1,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,FI,2021,70.3,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,FI,2022,69.5,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,PL,2021,86.8,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,OWN,PC,PL,2022,87.2,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,DE,2021,50.9,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,DE,2022,53.3,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,EU27_2020,2021,30.1,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,EU27_2020,2022,30.9,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,FI,2021,29.7,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,FI,2022,30.5,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,PL,2021,13.2,
ESTAT:ILC_LVHO02(1.0),27/10/23 23:00:00,A,TOTAL,TOTAL,RENT,PC,PL,2022,12.8,
